kernel,classic_cca,aqm,bdp,i,prague throughput,classic throughput,drops,classic,transition,scalable
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),4,3,1519956.6163267393,92560105.909307,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),4,6,1502637.4440521784,92585673.8258713,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),4,7,1485048.636451853,92579301.1907588,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),4,0,1502544.2811965323,92721062.81588505,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),4,8,1520002.632584144,92720159.04273643,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),4,5,1450069.0838681173,92786867.1740682,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),4,2,1502498.7179760174,92752934.9211421,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),0.5,9,35713923.07206385,58043982.17400597,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),0.5,1,38140603.21513637,55489873.72489725,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),0.5,4,37686791.91315512,56172041.978754684,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),0.5,3,36324252.29874056,57553066.25794658,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),0.5,6,35625031.66276672,58023912.58011794,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),0.5,7,34891416.57060725,58600684.744738676,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),0.5,0,36850032.17352668,56926274.46722422,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),0.5,8,35362309.23354075,58581747.71278983,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),0.5,5,37846120.25278742,55790634.79737634,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),0.5,2,43679885.01504879,50336777.49409366,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),1,9,37652085.35078806,56661696.95796448,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),1,1,39974812.32569017,54406382.914060034,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),1,4,5084193.582560482,89017222.07108766,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),1,3,39749237.144564554,54547993.93230279,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),1,6,9329652.67703697,84596087.519775,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO (ECN),1,7,39381225.9103503,54983557.629077286,,,,
